export-plot data (NetLogo 6.1.1),,,,,,,,,,,,,,
Dancing Game - O'Connor.nlogo,,,,,,,,,,,,,,
11/27/2020 13:53:10:780 -0800,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MODEL SETTINGS,,,,,,,,,,,,,,
swap?,initial-blue,memory_size,initial-green,type-players?,wipe?,learning?,memory_learning?,weighted_learning?,initial-yellow,mutation_rate,leader-payoff,leader-follower-game?,gendered_learning?,gendered_pairing?
63,0.659934007,0,TRUE,63,0.5,8,TRUE,,,,,,,
64,0.709929007,0,TRUE,64,0.5,8,TRUE,,,,,,,
65,0.759924008,0,TRUE,65,0.5,8,TRUE,,,,,,,
66,0.769923008,0,TRUE,66,0.5,8,TRUE,,,,,,,
67,0.789921008,0,TRUE,67,0.5,8,TRUE,,,,,,,
68,0.719928007,0,TRUE,68,0.5,8,TRUE,,,,,,,
69,0.769923008,0,TRUE,69,0.5,8,TRUE,,,,,,,
70,0.749925007,0,TRUE,70,0.5,8,TRUE,,,,,,,
71,0.789921008,0,TRUE,71,0.5,8,TRUE,,,,,,,
72,0.719928007,0,TRUE,72,0.5,8,TRUE,,,,,,,
73,0.729927007,0,TRUE,73,0.5,8,TRUE,,,,,,,
74,0.789921008,0,TRUE,74,0.5,8,TRUE,,,,,,,
75,0.709929007,0,TRUE,75,0.5,8,TRUE,,,,,,,
76,0.809919008,0,TRUE,76,0.5,8,TRUE,,,,,,,
77,0.699930007,0,TRUE,77,0.5,8,TRUE,,,,,,,
78,0.679932007,0,TRUE,78,0.5,8,TRUE,,,,,,,
79,0.829917008,0,TRUE,79,0.5,8,TRUE,,,,,,,
80,0.729927007,0,TRUE,80,0.5,8,TRUE,,,,,,,
81,0.779922008,0,TRUE,81,0.5,8,TRUE,,,,,,,
82,0.769923008,0,TRUE,82,0.5,8,TRUE,,,,,,,
83,0.739926007,0,TRUE,83,0.5,8,TRUE,,,,,,,
84,0.679932007,0,TRUE,84,0.5,8,TRUE,,,,,,,
85,0.819918008,0,TRUE,85,0.5,8,TRUE,,,,,,,
86,0.659934007,0,TRUE,86,0.5,8,TRUE,,,,,,,
87,0.709929007,0,TRUE,87,0.5,8,TRUE,,,,,,,
88,0.729927007,0,TRUE,88,0.5,8,TRUE,,,,,,,
89,0.749925007,0,TRUE,89,0.5,8,TRUE,,,,,,,
90,0.809919008,0,TRUE,90,0.5,8,TRUE,,,,,,,
91,0.789921008,0,TRUE,91,0.5,8,TRUE,,,,,,,
92,0.659934007,0,TRUE,92,0.5,8,TRUE,,,,,,,
93,0.759924008,0,TRUE,93,0.5,8,TRUE,,,,,,,
94,0.749925007,0,TRUE,94,0.5,8,TRUE,,,,,,,
95,0.789921008,0,TRUE,95,0.5,8,TRUE,,,,,,,
96,0.789921008,0,TRUE,96,0.5,8,TRUE,,,,,,,
97,0.719928007,0,TRUE,97,0.5,8,TRUE,,,,,,,
98,0.749925007,0,TRUE,98,0.5,8,TRUE,,,,,,,
99,0.809919008,0,TRUE,99,0.5,8,TRUE,,,,,,,
100,0.699930007,0,TRUE,100,0.5,8,TRUE,,,,,,,
